oa_code_2021,age_0_4,age_5_9,age_10_14,age_15_19,age_20_24,age_25_29,age_30_34,age_35_39,age_40_44,age_45_49,age_50_54,age_55_59,age_60_64,age_65_69,age_70_74,age_75_79,age_80_84,age_85_89,age_90_94,age_95_99,age_100_plus
S00135475,4,9,6,2,4,3,11,7,12,6,3,11,2,3,10,7,1,1,1,1,0
S00135476,3,6,7,3,4,2,8,1,2,10,7,5,13,11,13,9,3,0,0,0,0
S00135477,7,10,7,2,3,10,17,16,12,6,11,5,1,3,4,0,1,0,0,0,0
S00135478,2,4,1,0,2,4,1,3,4,3,7,3,3,11,8,12,16,8,7,0,0
S00135479,4,3,6,8,5,4,4,3,3,9,21,18,15,15,6,2,0,0,0,0,0
S00135480,1,9,9,2,4,5,9,11,11,11,11,5,11,7,9,8,0,2,4,0,0
S00135481,4,5,9,3,4,4,2,4,6,5,4,4,15,12,24,11,7,3,0,0,0
S00135482,3,4,9,4,0,0,0,7,5,6,6,2,3,10,14,5,5,1,0,0,0
S00135483,4,7,5,7,2,3,6,3,4,6,8,5,13,15,12,14,3,2,0,0,0
S00135484,3,1,3,3,1,4,5,5,2,1,1,6,12,11,15,5,5,0,0,0,0
S00135485,6,5,9,3,7,4,14,13,11,6,9,9,15,20,13,17,7,1,1,0,0
S00135486,10,6,9,5,4,3,6,13,15,5,5,10,7,6,10,0,5,1,0,0,0
S00135487,6,1,6,8,8,3,6,1,14,11,15,11,17,15,13,14,1,9,1,0,0
S00135488,7,7,10,7,6,8,9,7,9,12,11,4,5,12,6,4,3,0,0,0,0
S00135489,27,7,5,4,18,28,20,9,7,6,4,2,3,0,0,0,0,0,0,0,0
S00135490,4,2,7,5,4,9,7,4,5,5,8,8,19,12,13,6,7,2,0,0,0
S00135491,11,4,2,4,10,16,19,16,8,5,10,12,2,0,1,0,3,0,0,0,0
S00135492,8,7,7,2,4,6,5,9,5,10,9,8,13,14,9,9,0,0,0,0,0
S00135493,8,15,16,8,23,12,26,18,16,5,8,3,4,3,1,2,1,2,0,0,0
S00135494,1,5,5,3,3,5,4,1,6,5,9,8,18,13,5,3,10,3,1,0,0
S00135495,9,9,11,5,3,6,12,7,13,2,4,7,9,18,3,7,1,0,0,0,0
S00135496,6,8,5,3,4,2,2,7,14,2,8,4,6,8,15,7,2,1,0,0,0
S00135497,10,19,13,7,6,6,7,17,21,25,13,15,14,21,14,14,3,2,0,0,0
S00135498,19,11,2,3,15,30,18,24,5,3,7,3,3,0,0,2,0,0,0,0,0
S00135499,4,7,5,4,12,4,4,8,13,8,4,4,11,9,13,12,4,2,1,0,0
S00135500,21,14,6,3,4,13,22,22,10,6,3,0,0,2,0,0,0,0,0,0,0
S00135501,9,7,3,1,1,6,9,5,9,8,2,6,16,21,17,7,8,2,1,1,0
S00135502,11,5,2,3,19,25,17,15,15,3,4,4,0,6,0,0,0,0,0,0,0
S00135503,3,2,4,1,0,7,4,4,3,3,5,5,7,5,7,10,6,3,0,0,0
S00135504,2,1,0,1,11,6,4,0,4,0,6,11,17,11,20,22,11,8,0,0,0
S00135505,18,13,10,8,4,12,10,25,14,11,12,4,2,7,4,1,2,1,1,1,0
S00135506,1,4,6,0,7,4,6,6,4,6,5,13,14,5,5,1,0,0,0,0,0
S00135507,22,11,14,12,5,2,10,17,14,18,18,11,10,5,3,3,5,0,0,0,0
S00135508,1,1,0,3,2,5,5,3,8,4,4,3,12,4,10,3,2,0,0,0,0
S00135509,5,11,8,1,2,2,8,15,9,2,6,9,10,9,8,11,2,1,0,0,0
S00135510,2,6,5,3,10,8,3,2,8,5,7,8,11,7,9,2,6,3,0,0,0
S00135511,4,3,2,1,4,7,11,19,2,14,13,5,9,6,9,4,1,0,0,0,0
S00135512,6,4,3,6,4,10,2,10,5,4,11,9,13,17,14,2,2,2,0,0,0
S00135513,1,10,1,6,5,4,8,7,5,6,5,10,5,15,7,5,4,1,0,0,0
S00135514,5,1,5,9,6,7,7,12,4,9,8,7,8,10,3,2,5,1,2,0,0
S00135515,10,8,10,10,9,7,11,5,2,8,12,6,7,5,21,14,17,7,1,0,0
S00135516,18,17,11,6,10,23,27,13,9,5,6,4,2,1,2,2,0,0,0,0,0
S00135517,1,3,8,5,5,8,15,11,3,16,14,7,12,4,1,3,2,0,0,0,0
S00135518,4,0,1,5,6,4,8,3,9,5,2,6,9,7,5,4,10,0,0,0,0
S00135519,8,4,1,6,14,9,5,2,5,6,12,16,18,9,11,6,4,0,0,0,0
S00135520,7,3,6,9,7,14,11,13,8,14,14,13,15,11,5,3,3,1,1,0,0
S00135521,6,4,4,4,14,17,23,18,8,5,4,10,5,4,0,2,0,0,1,0,0
S00135522,4,4,0,1,5,8,5,8,7,5,7,9,8,10,5,2,3,4,0,0,0
S00135523,3,1,0,1,3,2,2,3,0,0,8,1,2,6,4,11,9,7,0,0,0
S00135524,5,5,0,0,3,9,8,8,8,7,11,6,9,15,8,10,2,1,0,0,0
S00135525,19,9,3,0,0,16,23,17,13,6,1,2,4,0,0,0,0,0,0,0,0
S00135526,3,3,3,5,8,3,7,4,5,6,14,3,7,10,10,6,5,3,3,0,0
S00135527,11,2,4,1,0,4,5,10,2,1,2,11,4,3,7,1,5,3,0,0,0
S00135528,6,5,6,8,4,9,6,7,8,6,5,17,14,7,17,14,19,5,1,0,0
S00135529,1,4,5,3,3,1,5,10,4,7,6,26,14,12,10,8,9,6,1,0,0
S00135530,1,8,3,0,4,2,6,6,3,7,6,6,7,7,10,4,1,2,0,0,0
S00135531,4,3,3,5,4,6,7,6,8,1,8,11,13,5,6,7,5,2,0,0,0
S00135532,8,4,13,6,10,4,8,21,12,7,7,3,0,7,0,1,1,1,0,0,0
S00135533,9,9,6,3,5,9,15,11,6,13,7,11,19,11,2,4,2,0,1,0,0
