oa_code_2021,white_total,asian_asian_scottish_or_asian_british_total,african_total,caribbean_or_black_total,other_ethnic_groups_total
S00135511,116,3,0,0,1
S00135512,119,2,0,0,0
S00135513,111,0,0,0,0
S00135514,104,8,1,0,0
S00135515,158,3,0,0,0
S00135516,128,5,1,0,12
S00135517,107,0,0,0,0
S00135518,74,6,0,0,4
S00135519,141,0,0,1,0
S00135520,131,10,1,0,3
S00135521,97,2,7,1,5
S00135522,90,1,0,0,1
S00135523,64,0,3,0,0
S00135524,104,0,0,0,4
S00135525,85,16,12,0,0
S00135526,103,3,0,0,0
S00135527,71,1,0,0,0
S00135528,164,2,0,0,0
S00135529,134,0,0,0,0
S00135530,76,0,11,0,0
S00135531,85,13,2,0,0
S00135532,81,15,4,0,0
S00135533,122,6,4,0,0
S00135534,97,8,7,0,0
S00135535,213,9,10,0,0
S00135536,157,11,19,0,0
S00135537,130,11,5,0,0
S00135538,85,0,0,0,0
S00135539,82,2,0,2,0
S00135540,138,2,0,0,1
S00135541,74,1,0,0,0
S00135542,147,12,18,0,3
S00135543,143,4,18,5,2
S00135544,96,4,2,0,0
S00135545,118,17,0,0,0
S00135546,80,4,4,0,0
S00135547,169,5,12,0,0
S00135548,80,6,0,0,2
S00135549,58,2,0,0,5
S00135550,110,4,5,0,0
S00135551,117,7,0,0,3
S00135552,115,4,5,0,9
S00135553,197,0,5,0,0
S00135554,86,0,0,0,0
S00135555,158,0,8,0,0
S00135556,100,1,0,0,0
S00135557,80,8,0,3,0
S00135558,138,6,5,0,0
S00135559,100,1,4,0,2
S00135560,107,0,0,0,0
S00135561,85,2,0,0,3
S00135562,86,1,0,0,1
S00135563,59,0,0,0,0
S00135564,95,0,7,0,0
S00135565,70,0,0,0,0
S00135566,100,0,0,0,0
S00135567,115,6,1,0,0
S00135568,136,13,10,0,0
S00135569,96,2,4,0,2
S00135570,110,0,0,2,0
S00135571,98,2,1,0,0
S00135572,118,1,0,0,1
S00135573,105,0,5,0,0
S00135574,92,0,0,0,0
S00135575,135,11,0,0,0
S00135576,117,3,0,1,2
S00135577,100,4,18,0,4
S00135578,114,2,1,0,0
S00135579,81,3,2,0,0
S00135580,132,7,0,0,1
S00135581,121,5,0,0,0
S00135582,80,3,0,0,0
S00135583,115,9,6,0,3
S00135584,121,6,0,0,0
S00135585,97,3,5,0,8
S00135586,107,2,2,1,6
S00135587,62,9,5,0,0
S00135588,80,5,0,0,1
S00135589,79,0,4,0,0
S00135590,64,3,18,0,3
S00135591,72,1,6,0,3
S00135592,99,17,1,0,0
S00135593,82,5,3,0,0
S00135594,93,7,0,0,0
S00135595,147,0,1,0,0
S00135596,172,14,12,0,5
S00135597,129,1,4,0,0
S00135598,82,5,0,0,0
S00135599,116,5,4,2,5
S00135600,54,0,0,1,0
S00135601,98,13,24,1,0
S00135602,117,3,2,0,0
S00135603,78,0,0,0,0
S00135604,75,1,10,0,0
S00135605,84,1,0,0,0
S00135606,237,26,11,0,2
S00135607,1336,159,120,7,34
S00135608,96,0,2,0,0
S00135609,101,0,2,1,0
S00135610,152,1,2,0,0
S00135611,88,0,1,0,0
S00135612,115,10,15,0,7
S00135613,87,9,12,2,3
S00135614,107,0,0,1,0
S00135615,152,9,0,0,5
S00135616,55,9,9,0,0
S00135617,88,14,2,1,5
S00135618,66,3,6,0,0
S00135619,63,2,0,0,0
S00135620,124,1,5,0,0
S00135621,125,5,0,0,2
S00135622,60,14,10,1,3
S00135623,111,2,9,0,0
S00135624,85,4,2,0,0
S00135625,78,30,13,0,8
S00135626,42,16,5,0,0
S00135627,125,0,4,0,2
S00135628,144,0,0,0,2
S00135629,136,7,26,0,0
S00135630,110,3,0,0,0
S00135631,153,7,5,0,0
S00135632,149,10,6,1,0
S00135633,48,5,8,1,1
S00135634,74,0,0,1,0
S00135635,111,1,4,0,1
S00135636,91,6,1,5,0
S00135637,125,2,0,0,0
S00135638,68,7,0,0,0
S00135639,61,2,5,0,1
S00135640,126,1,0,0,0
S00135641,87,0,0,0,2
S00135642,164,6,7,1,4
S00135643,90,4,0,0,0
S00135644,70,3,0,0,0
S00135645,82,0,0,0,0
S00135646,73,0,0,0,0
S00135647,151,0,0,0,0
S00135648,112,4,0,0,0
S00135649,77,5,7,0,2
S00135650,101,5,0,0,0
S00135651,101,7,7,0,0
S00135652,82,0,0,0,2
S00135653,64,3,14,0,3
S00135654,65,1,0,0,1
S00135655,90,9,1,3,4
S00135656,99,0,1,0,1
S00135657,110,0,0,1,6
