oa_code_2021,church_of_scotland,roman_catholic,other_christian,buddhist,hindu,jewish,muslim,sikh,pagan,other_religion,no_religion,religion_not_stated
S00135535,42,13,17,0,7,0,0,0,0,0,129,26
S00135536,10,18,10,3,4,0,3,0,0,1,131,6
S00135537,35,8,9,0,4,0,0,0,0,0,77,10
S00135538,33,5,0,5,0,0,0,0,0,0,36,9
S00135539,15,4,3,0,0,0,0,2,0,0,57,7
S00135540,40,11,7,0,1,0,0,0,1,1,72,12
S00135541,23,5,1,0,0,0,0,0,0,1,38,9
S00135542,9,32,20,0,6,0,0,0,1,0,112,4
S00135543,7,13,22,0,0,0,2,0,0,0,125,7
S00135544,27,12,5,0,0,0,0,0,0,1,52,4
S00135545,22,1,2,1,3,0,3,0,0,0,90,6
S00135546,14,4,6,0,0,0,0,0,0,0,58,4
S00135547,38,16,7,0,0,0,0,0,1,3,110,13
S00135548,21,4,1,0,0,0,10,0,0,0,54,0
S00135549,7,6,0,0,0,0,5,0,0,0,40,4
S00135550,22,13,0,1,0,0,0,0,0,0,82,4
S00135551,20,9,4,0,2,0,8,0,0,0,79,6
S00135552,8,14,5,0,3,0,9,0,0,0,92,5
S00135553,57,6,20,0,0,0,0,1,0,0,116,8
S00135554,18,4,0,0,0,0,0,0,0,0,66,0
S00135555,32,4,9,0,0,0,0,0,0,0,113,6
S00135556,17,1,5,0,0,0,0,0,0,0,75,3
S00135557,12,13,9,3,4,0,0,0,0,0,47,7
S00135558,15,0,13,2,0,0,0,0,0,0,112,10
S00135559,8,0,3,0,0,0,2,0,0,2,77,12
S00135560,24,3,11,0,0,0,0,0,0,0,64,5
S00135561,14,8,5,1,0,0,5,0,0,0,57,4
S00135562,11,4,2,0,0,0,6,0,0,1,64,4
S00135563,3,16,2,0,0,0,1,0,0,0,38,1
S00135564,36,8,1,0,0,0,1,0,0,0,56,0
S00135565,17,3,4,0,0,0,0,0,0,0,37,10
S00135566,32,1,2,0,0,0,0,0,0,0,61,3
S00135567,15,7,2,0,0,0,3,0,0,0,79,19
S00135568,34,3,11,0,0,0,6,0,0,0,95,10
S00135569,23,3,1,2,0,0,0,0,0,0,68,5
S00135570,24,7,6,0,0,0,0,0,0,0,66,8
S00135571,13,6,2,0,0,0,4,0,0,1,71,6
S00135572,30,9,4,0,0,0,0,0,2,0,73,4
S00135573,9,8,4,0,0,0,0,0,0,0,77,13
S00135574,20,9,2,0,0,0,0,0,2,0,52,10
S00135575,25,12,0,0,0,0,5,0,0,0,95,10
S00135576,25,5,14,0,0,0,2,0,0,1,76,6
S00135577,4,1,15,3,0,0,10,0,1,2,89,5
S00135578,14,3,2,0,0,0,0,0,0,3,89,7
S00135579,9,5,3,0,3,0,0,0,0,0,56,9
S00135580,27,15,5,1,1,0,0,0,0,2,85,8
S00135581,28,6,9,0,1,0,0,0,0,0,77,8
S00135582,11,0,8,1,0,0,0,0,0,0,64,4
S00135583,6,15,10,5,1,0,5,0,0,0,96,1
S00135584,10,4,2,4,0,0,0,0,0,0,104,2
S00135585,15,4,19,0,3,0,5,0,0,1,63,5
S00135586,29,2,7,0,0,0,6,0,0,0,66,8
S00135587,8,2,4,0,0,0,0,0,0,0,55,2
S00135588,13,4,5,1,0,0,4,1,0,0,55,3
S00135589,19,6,12,0,0,0,0,0,1,0,43,6
S00135590,7,9,8,0,3,0,1,0,0,0,57,3
S00135591,11,8,7,0,0,0,7,0,0,0,45,5
S00135592,7,5,0,0,8,0,9,0,0,0,88,4
S00135593,15,2,8,0,4,0,0,0,0,0,59,3
S00135594,25,9,2,0,0,0,4,0,0,0,57,3
