oa_code,church_of_scotland,roman_catholic,other_christian,buddhist,hindu,jewish,muslim,sikh,other_religion,no_religion,religion_not_stated
S00089150,34,16,23,0,0,0,0,0,0,64,14
S00089151,15,1,4,0,0,0,0,0,0,36,5
S00089152,16,2,1,0,0,0,0,0,1,27,7
S00089153,30,3,4,0,0,0,0,0,0,22,4
S00089154,16,3,0,0,0,0,0,0,1,48,4
S00089155,29,1,6,0,0,0,0,0,0,40,8
S00089156,46,12,1,0,0,0,5,0,0,56,9
S00089157,36,3,0,0,0,0,0,0,0,62,4
S00089158,39,2,7,0,0,0,5,0,0,63,20
S00089159,28,4,3,1,0,0,3,0,1,42,8
S00089160,41,4,4,1,0,0,0,0,0,59,3
S00089161,26,4,0,0,0,0,0,0,0,58,7
S00089162,13,4,3,0,0,0,0,0,2,49,6
S00089163,23,10,5,0,0,0,1,0,0,70,6
S00089164,26,3,4,0,0,0,0,0,0,38,7
S00089165,25,11,2,0,0,0,4,0,0,55,8
S00089166,34,2,9,0,0,0,0,0,0,95,10
S00089167,27,3,3,2,0,0,0,0,0,70,2
S00089168,40,4,1,0,0,0,0,0,0,15,4
S00089169,35,4,0,0,0,0,5,0,0,67,6
S00089170,20,11,4,0,0,0,4,0,0,51,0
S00089171,22,6,6,0,0,0,0,0,0,31,9
S00089172,12,11,2,0,0,0,0,0,1,36,2
S00089173,30,10,10,0,0,0,0,0,2,74,13
S00089174,31,9,12,0,0,0,0,0,2,92,15
S00089175,27,9,5,0,0,0,0,0,0,78,5
S00089176,20,1,10,0,0,0,1,0,0,64,6
S00089177,23,3,0,0,0,0,0,0,0,91,12
S00089178,42,6,5,0,0,0,1,0,0,86,9
S00089179,45,10,7,0,2,0,1,0,0,101,6
S00089180,39,2,6,0,0,0,0,0,0,79,8
S00089181,30,5,5,0,0,0,0,0,0,55,6
S00089182,24,6,3,0,0,1,0,0,0,71,9
S00089183,22,5,2,0,1,0,0,0,1,63,4
S00089184,53,2,14,0,0,0,0,0,0,55,13
S00089185,60,3,14,0,0,0,1,0,0,46,12
S00089186,31,19,9,1,4,0,0,0,0,46,4
S00089187,17,7,2,1,6,0,6,0,0,28,0
S00089188,66,11,17,2,0,0,1,0,0,42,7
S00089189,49,18,13,0,0,0,1,0,1,60,10
S00089190,32,18,9,0,2,0,5,0,1,39,7
S00089191,36,13,10,0,3,0,13,0,0,57,5
S00089192,16,13,14,2,4,0,10,0,1,42,9
S00089193,26,18,16,4,1,0,5,0,1,58,3
S00089194,55,15,7,1,0,0,3,0,1,56,15
S00089195,57,11,8,0,0,0,1,0,2,53,3
S00089196,49,21,9,0,0,0,0,0,0,39,1
S00089197,45,10,7,1,0,0,5,0,0,36,12
S00089198,28,11,5,0,1,0,0,0,0,34,4
S00089199,23,4,5,2,1,0,0,0,0,44,21
S00089200,22,1,3,0,0,0,1,0,0,33,9
S00089201,41,18,5,0,0,0,0,0,0,26,8
S00089202,38,7,6,0,0,0,0,0,0,90,11
S00089203,61,22,8,1,0,0,6,0,0,104,12
S00089204,32,22,14,0,1,0,0,0,0,70,10
S00089205,41,15,9,1,3,0,0,0,0,42,6
S00089206,35,11,12,0,1,0,1,4,0,52,6
S00089207,36,7,8,0,0,0,0,0,0,42,7
S00089208,10,16,3,0,5,0,1,0,0,37,4
S00089209,13,7,2,3,0,0,5,0,0,41,2
S00089210,11,7,5,1,2,0,5,0,0,40,5
S00089211,6,12,7,0,2,0,1,0,0,40,3
S00089212,20,15,5,1,1,0,1,0,0,57,6
S00089213,6,12,7,0,3,0,0,0,1,36,3
S00089214,11,3,4,0,0,0,0,0,0,41,2
S00089215,11,8,6,6,0,0,7,0,0,27,2
S00089216,13,10,3,1,0,0,8,0,0,60,2
S00089217,8,24,8,1,0,0,2,0,0,29,7
S00089218,12,28,0,1,2,0,1,0,1,74,7
S00089219,3,17,9,0,0,0,0,0,0,49,6
S00089220,12,7,4,0,4,0,2,0,0,29,2
S00089221,28,20,9,1,5,0,4,0,1,75,3
S00089222,9,11,3,0,3,0,13,0,0,48,2
S00089223,17,2,6,1,0,0,1,0,1,40,2
S00089224,50,25,9,0,0,0,0,0,2,93,12
S00089225,10,2,7,0,3,0,0,0,1,32,3
S00089226,18,10,5,0,2,0,0,0,1,20,1
S00089227,29,19,15,0,0,0,2,0,0,57,6
S00089228,22,15,8,1,0,0,6,0,0,38,5
S00089229,21,5,4,0,4,0,5,0,0,51,7
S00089230,29,3,9,2,0,0,1,0,0,48,8
S00089231,10,9,9,0,11,0,5,0,0,38,5
S00089232,16,13,2,2,0,0,6,0,0,48,6
S00089233,22,3,7,0,0,0,0,0,0,43,5
S00089234,24,7,11,1,0,0,0,0,0,47,7
