oa_code	african_carribbean_black	asian	mixed	other	white
S00089494	2	0	2	2	140
S00089495	14	4	0	22	98
S00089496	4	8	0	4	120
S00089497	18	44	4	4	352
S00089498	2	26	3	2	212
S00089499	0	2	0	0	140
S00089500	4	12	0	2	164
S00089501	18	2	2	0	268
S00089502	2	2	0	0	266
S00089503	0	2	0	0	122
S00089504	0	2	1	0	114
S00089505	0	0	0	0	128
S00089506	8	12	0	0	156
S00089507	2	14	5	0	160
S00089508	2	24	0	0	188
S00089509	0	2	0	0	100
S00089510	0	12	0	0	244
S00089511	4	22	0	2	148
S00089512	8	8	0	0	100
S00089513	12	24	0	0	216
S00089514	12	0	1	10	182
S00089515	70	40	0	6	420
S00089516	2	22	5	6	174
S00089517	6	8	0	0	132
S00089518	6	4	0	0	332
S00089519	2	2	0	0	232
S00089520	0	0	0	0	182
S00089521	0	12	1	0	248
S00089522	2	6	0	0	224
S00089523	2	12	0	0	188
S00089524	0	8	0	0	190
S00089525	0	0	0	0	156
S00089526	10	2	0	0	206
S00089527	0	2	0	0	212
S00089528	6	0	1	2	172
S00089529	8	24	3	0	198
S00089530	0	10	1	8	114
S00089531	0	6	1	4	152
S00089532	2	6	1	2	208
S00089533	12	8	1	2	134
S00089534	0	16	0	0	224
S00089535	20	18	0	0	134
S00089536	8	2	0	0	218
S00089537	0	0	1	0	150
S00089538	0	0	0	0	176
S00089539	0	6	0	0	152
S00089540	0	0	1	0	192
S00089541	10	8	0	6	168
S00089542	16	2	2	2	224
S00089543	0	6	1	0	152
S00089544	10	14	0	0	180
S00089545	0	0	0	0	124
S00089546	0	14	1	0	198
S00089547	2	10	0	0	274
S00089548	12	26	1	0	282
S00089549	6	2	3	8	174
S00089550	0	10	0	0	192
S00089551	0	0	0	0	152
S00089552	38	10	0	4	102
S00089553	0	4	0	0	198
S00089554	6	4	0	0	128
S00089555	6	22	0	0	254
S00089556	6	4	4	8	134
S00089557	16	24	1	0	234
S00089558	10	0	1	8	230
S00089559	20	2	0	0	286
S00089560	2	4	0	0	150
S00089561	6	8	1	8	178
S00089562	10	8	0	6	198
S00089563	8	6	0	0	138
S00089564	4	0	1	20	170
S00089565	8	10	0	2	274
S00089566	6	22	2	0	248
S00089567	0	20	0	0	328
S00089568	20	12	6	4	306
S00089569	0	4	0	0	218
S00089570	24	2	5	0	238
S00089571	10	34	2	0	252
S00089572	0	0	0	0	152
S00089573	14	2	0	0	190
S00089574	6	26	0	6	122
S00089575	18	6	0	0	120
S00089576	8	12	1	14	216
S00089577	2	8	0	0	168
S00089578	30	0	0	0	188
S00089579	2	8	1	0	164
S00089580	2	10	0	0	206
S00089581	4	4	1	0	168
S00089582	16	6	1	0	216
S00089583	6	10	1	0	250
S00089584	8	0	1	0	122
S00089585	16	0	0	0	246
S00089586	14	12	0	0	190
S00089587	8	6	0	4	120
S00089588	0	0	0	0	176
S00089589	0	0	0	0	174
S00089590	2	14	0	0	198
S00089591	6	14	0	0	220
S00089592	14	0	0	0	176
S00089593	0	0	2	20	216
S00089594	0	2	0	0	162
S00089595	16	10	0	2	258
S00089596	0	0	1	0	198
S00089597	0	8	0	0	248
S00089598	12	2	1	2	98
S00089599	34	20	1	0	204
S00089600	10	0	1	0	94
S00089601	6	10	0	0	126
S00089602	2	10	0	10	224
S00089603	0	20	0	0	162
S00089604	0	14	0	0	136
S00089605	8	6	1	0	262
S00089606	22	0	2	2	222
S00089607	10	34	2	24	224
S00089608	4	0	0	0	118
S00089609	28	12	2	8	158
S00089610	6	10	2	0	248
S00089611	0	0	0	0	170
S00089612	2	10	0	0	174
S00089613	8	4	0	0	112
S00089614	0	10	3	0	334
S00089615	8	12	0	0	224
S00089616	12	8	0	12	218
S00089617	4	0	0	0	308
S00089618	10	10	5	4	202
S00089619	6	10	1	6	240
S00089620	4	0	0	0	302
S00089621	0	0	0	0	102
S00089622	8	0	4	0	152
S00089623	0	0	1	0	206
S00089624	14	2	1	8	124
S00089625	8	30	1	4	180
S00089626	2	14	0	0	298
S00089627	0	8	1	0	130
S00089628	0	14	0	0	210
S00089629	8	66	6	0	252
S00089630	0	84	1	0	128
S00089631	2	10	1	2	214
S00089632	10	18	0	0	194
S00089633	70	96	5	6	636
S00089634	0	10	1	10	188
S00089635	8	6	0	0	106
S00089636	0	30	3	0	212
S00089637	8	10	1	4	96
S00089638	4	12	3	0	180
S00089639	22	8	1	0	156
S00089640	0	8	3	6	224
S00089641	6	8	0	0	108
S00089642	24	22	0	0	90
S00089643	14	12	2	2	232
S00089644	6	48	0	2	306
S00089645	20	46	3	0	248
S00089646	8	22	2	2	226
S00089647	24	16	1	2	252
S00089648	0	8	0	0	124
S00089649	10	14	0	0	190
S00089650	8	2	1	10	246
S00089651	36	82	6	10	660
S00089652	2	26	3	2	254
